phase,action,target,detail
4,sync POS,PUR-MM-STALL-07-045 Chicken Namban Burger,"cost_price → 17.204,99, base_price → 60.000"
4,sync POS,PUR-MM-STALL-05-029 Crispy Temaki Sushi,"cost_price → 5.825,77, base_price → 30.000"
4,sync POS,PUR-MM-STALL-08-055 SFC Signature,"cost_price → 21.136,56, base_price → 40.000"
4,sync POS,PUR-MM-STALL-05-028 Salmon Philadelphia,"cost_price → 22.707,71, base_price → 80.000"
4,sync POS,PUR-MM-STALL-06-043 Egg Tartar Shio Pan,"cost_price → 4.147,43, base_price → 20.000"
4,sync POS,PUR-MM-STALL-06-042 Shio Pan Cheese Furikake,"cost_price → 7.095,97, base_price → 20.000"
4,sync POS,PUR-PRD-20260824-002 Doughnat Strawberry,"cost_price → 0, base_price → 15.000"
4,sync POS,PUR-MM-STALL-06-041 Shio Pan OG,"cost_price → 2.439,12, base_price → 15.000"
4,sync POS,PUR-MM-STALL-06-033 Souffle Pancake Mochi Chocolate,"cost_price → 4.256,47, base_price → 25.000"
4,sync POS,PUR-MM-STALL-06-035 Souffle Pancake Mochi Hojicha,"cost_price → 5.055,84, base_price → 30.000"
4,sync POS,PUR-MM-STALL-06-034 Souffle Pancake Mochi Matcha,"cost_price → 4.838,83, base_price → 30.000"
4,sync POS,PUR-MM-STALL-06-036 Souffle Pancake Mochi Vanilla,"cost_price → 3.638,05, base_price → 25.000"
4,sync POS,PUR-PRD-20260829-001 Ebi Shinjo,"cost_price → 0, base_price → 60.000"
4,sync POS,PUR-MM-STALL-08-051 Signature Torikaraage,"cost_price → 14.333,44, base_price → 40.000"
4,sync POS,PUR-PRD-20260816-003 Mineral Water,"cost_price → 0, base_price → 5.000"
4,sync POS,PUR-MM-STALL-08-052 Cheese Minced Katsu,"cost_price → 18.522,63, base_price → 60.000"
4,sync POS,PUR-PRD-20260822-002 Matchaaa Pistachio ,"cost_price → 0, base_price → 36.000"
4,sync POS,PUR-MM-STALL-02-001 Negima,"cost_price → 6.549,67, base_price → 25.000"
4,sync POS,PUR-PRD-20260825-001 Onigiri Butter Salmon,"cost_price → 0, base_price → 0"
4,sync POS,PUR-PRD-20260829-002 Large Sausage Hotdog,"cost_price → 0, base_price → 75.000"
4,sync POS,PUR-PRD-20260822-001 Tamagoyaki Mentai ,"cost_price → 0, base_price → 50.000"
4,buat kategori POS,BAKERY-BAR,belum ada di pos.pos_categories
4,sync POS,PUR-PRD-20260816-001 Bomboloni Vanilla,"cost_price → 0, base_price → 20.000"
4,sync POS,PUR-MM-STALL-06-032 Doughnut Hojicha,"cost_price → 3.045,11, base_price → 15.000"
4,sync POS,PUR-PRD-20260822-001 Onigiri Katsuobushi Spicy,"cost_price → 0, base_price → 35.000"
4,sync POS,PUR-MM-STALL-08-050 Chicken Namban,"cost_price → 11.278,96, base_price → 50.000"
4,sync POS,PUR-PRD-20260824-003 Doughnat Chocolate,"cost_price → 0, base_price → 15.000"
4,buat kategori POS,TEPPANYAKI,belum ada di pos.pos_categories
4,sync POS,PUR-PRD-20260822-001 Unagi Meshi,"cost_price → 0, base_price → 65.000"
4,sync POS,PUR-PRD-20260823-001 Aka Miso Ramen,"cost_price → 0, base_price → 75.000"
4,sync POS,PUR-PRD-20260824-001 Steam Rice,"cost_price → 0, base_price → 15.000"
4,sync POS,PUR-MM-STALL-09-059 Beef Yakiniku Bowl,"cost_price → 20.786,17, base_price → 70.000"
4,sync POS,PUR-MM-STALL-08-056 Crispy Wings,"cost_price → 13.328,72, base_price → 40.000"
4,sync POS,PUR-PRD-20260824-001 Hikiniku,"cost_price → 0, base_price → 0"
4,sync POS,PUR-PRD-20260823-002 Spicy Goma,"cost_price → 0, base_price → 90.000"
4,sync POS,PUR-MM-STALL-10-064 Beef Abura Soba,"cost_price → 30.314,04, base_price → 90.000"
4,sync POS,PUR-MM-STALL-10-063 Signature Shoyu Ramen,"cost_price → 20.879,63, base_price → 70.000"
4,sync POS,PUR-MM-STALL-09-058 Gyutan Donburi,"cost_price → 21.731,62, base_price → 75.000"
4,sync POS,PUR-MM-STALL-09-060 Smoked Duck Donburi,"cost_price → 28.993,05, base_price → 80.000"
4,sync POS,PUR-MM-STALL-10-061 Aka Miso Ramen,"cost_price → 54.600,39, base_price → 75.000"
4,sync POS,PUR-MM-STALL-10-062 Spicy Goma Ramen,"cost_price → 31.404,34, base_price → 90.000"
4,buat kategori POS,UDON-NOODLES-STALL,belum ada di pos.pos_categories
4,sync POS,PUR-MM-STALL-11-067 Udon Carbonara,"cost_price → 89.273,97, base_price → 95.000"
4,sync POS,PUR-MM-STALL-11-068 Gyutan Udon,"cost_price → 56.016,45, base_price → 80.000"
4,sync POS,PUR-MM-STALL-11-069 Beef Udon,"cost_price → 55.661,91, base_price → 80.000"
4,sync POS,PUR-MM-STALL-12-071 Smoked Duck Okayu,"cost_price → 14.581,44, base_price → 40.000"
4,sync POS,PUR-MM-STALL-12-072 Tori Okayu,"cost_price → 9.159,79, base_price → 40.000"
4,buat kategori POS,YAKIMONO-GRIILED-STALL,belum ada di pos.pos_categories
4,sync POS,PUR-MM-STALL-13-073 Beef Hikiniku,"cost_price → 20.189,44, base_price → 80.000"
4,sync POS,PUR-MM-STALL-13-074 Salmon Don,"cost_price → 34.912,01, base_price → 90.000"
4,sync POS,PUR-MM-STALL-13-075 Unagimeshi,"cost_price → 62.556,66, base_price → 160.000"
4,sync POS,PUR-MM-STALL-13-076 Gyudon,"cost_price → 21.832,7, base_price → 85.000"
4,sync POS,PUR-MM-STALL-15-083 Oolong Peach,"cost_price → 2.566,85, base_price → 25.000"
4,sync POS,PUR-MM-STALL-16-084 Beef Katsu Sando,"cost_price → 23.294,26, base_price → 60.000"
4,sync POS,PUR-MM-STALL-15-081 Sour Plum,"cost_price → 6.519,76, base_price → 25.000"
4,sync POS,PUR-PRD-20260823-003 Dry Ramen Smoked Duck,"cost_price → 0, base_price → 65.000"
4,sync POS,PUR-MM-STALL-15-082 Yuzu Milk,"cost_price → 10.001,05, base_price → 35.000"
4,sync POS,PUR-PRD-20260825-001 Onigiri Chili Oil,"cost_price → 0, base_price → 0"
4,sync POS,PUR-MM-STALL-10-066 Tori Abura Soba,"cost_price → 28.809,39, base_price → 90.000"
4,sync POS,PUR-MM-STALL-10-065 Smoked Duck Abura Soba,"cost_price → 35.249,04, base_price → 95.000"
4,buat produk POS,PUR-MM-STALL-03-085 Teppanyaki 1,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-03-086 Teppanyaki 2,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-03-087 Teppanyaki 3,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-07-088 Large Sausage Beef Hotdog,"harga 75.000, HPP 29.825,55"
4,buat produk POS,PUR-MM-STALL-07-089 Large Sausage Chicken Hotdog,"harga 60.000, HPP 21.297,55"
4,buat produk POS,PUR-MM-STALL-07-090 Ebi Furai Hotdog,"harga 0, HPP 23.709,48"
4,buat produk POS,PUR-MM-STALL-12-091 Beef Okayu,"harga 40.000, HPP 10.304,44"
4,buat produk POS,PUR-MM-STALL-14-092 Onigiri Spicy Tuna (Butter - Nori Sheet),"harga 40.000, HPP 11.365,59"
4,buat produk POS,PUR-MM-STALL-14-093 Onigiri Cakalang (Butter - Nori Sheet),"harga 40.000, HPP 14.562,24"
4,buat produk POS,PUR-MM-STALL-14-094 Onigiri Salmon Mayo (Butter - Nori Sheet),"harga 40.000, HPP 13.666,72"
4,buat produk POS,PUR-MM-STALL-14-095 Onigiri Yakiniku (Butter - Nori Sheet),"harga 35.000, HPP 11.849,38"
4,buat produk POS,PUR-MM-STALL-14-096 Onigiri Spicy Tuna (Aonori - Nori Sheet),"harga 35.000, HPP 6.177,84"
4,buat produk POS,PUR-MM-STALL-14-097 Onigiri Cakalang (Aonori - Nori Sheet),"harga 35.000, HPP 9.374,5"
4,buat produk POS,PUR-MM-STALL-14-098 Onigiri Salmon Mayo (Aonori - Nori Sheet),"harga 35.000, HPP 8.478,97"
4,buat produk POS,PUR-MM-STALL-14-099 Onigiri Yakiniku (Aonori - Nori Sheet),"harga 30.000, HPP 6.661,63"
4,buat produk POS,PUR-MM-STALL-14-100 Onigiri Spicy Tuna (Butter - Nori Crispy),"harga 40.000, HPP 11.607,37"
4,buat produk POS,PUR-MM-STALL-14-101 Onigiri Cakalang (Butter - Nori Crispy),"harga 40.000, HPP 14.804,02"
4,buat produk POS,PUR-MM-STALL-14-102 Onigiri Salmon Mayo (Butter - Nori Crispy),"harga 40.000, HPP 13.908,5"
4,buat produk POS,PUR-MM-STALL-14-103 Onigiri Yakiniku (Butter - Nori Crispy),"harga 35.000, HPP 12.091,16"
4,buat produk POS,PUR-MM-STALL-14-104 Onigiri Spicy Tuna (Aonori - Nori Crispy),"harga 35.000, HPP 6.419,62"
4,buat produk POS,PUR-MM-STALL-14-105 Onigiri Cakalang (Aonori - Nori Crispy),"harga 35.000, HPP 9.616,28"
4,buat produk POS,PUR-MM-STALL-14-106 Onigiri Salmon Mayo (Aonori - Nori Crispy),"harga 35.000, HPP 8.720,76"
4,buat produk POS,PUR-MM-STALL-14-107 Onigiri Yakiniku (Aonori - Nori Crispy),"harga 30.000, HPP 6.903,42"
4,buat kategori POS,COFFEE-MATCHA-BAR-STALL,belum ada di pos.pos_categories
4,buat produk POS,PUR-MM-STALL-17-108 MATCHA COOKIES,"harga 0, HPP 555"
4,buat produk POS,PUR-MM-STALL-17-109 MATCHA LATTE,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-110 CMBB 3,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-111 CMBB 4,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-112 CMBB 5,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-113 CMBB 6,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-114 CMBB 7,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-115 CMBB 8,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-116 CMBB 9,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-117 CMBB 10,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-118 CMBB 11,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-119 CMBB 12,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-120 CMBB 13,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-121 CMBB 14,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-122 CMBB 15,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-123 CMBB 16,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-124 CMBB 17,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-125 CMBB 18,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-126 CMBB 19,"harga 0, HPP 0"
4,buat produk POS,PUR-MM-STALL-17-127 CMBB 20,"harga 0, HPP 0"
4,backfill POS,pos_order_items,2643 baris riwayat dihitung ulang
